binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Allagoptera caudescens,Arecaceae,Allagoptera caudescens (Mart.) Kuntze,tree,confirmed,66,NA,100.0,pure_endemic,Endemic,61,0,,,,,,,,,,,3
Alseis involuta,Rubiaceae,Alseis involuta K.Schum.,tree,confirmed,32,NA,100.0,pure_endemic,Not endemic,27,1,,,,,,,,,,,3
Alseis pickelii,Rubiaceae,Alseis pickelii Pilg. & Schmale,tree,confirmed,106,NA,92.74,near_endemic,Not endemic,92,6,,,,,,,,,,,3
Alsophila capensis,Cyatheaceae,Alsophila capensis (L.f.) J.Sm.,tree,confirmed,62,cultivated,95.71,near_endemic,Endemic,43,1,,,,ornamental,,,,,,,3
Amaioua pilosa,Rubiaceae,Amaioua pilosa K.Schum.,tree,confirmed,18,NA,92.31,near_endemic,Endemic,12,1,,,,,,,,,,,3
Anaxagorea silvatica,Annonaceae,Anaxagorea silvatica R.E.Fr.,tree,confirmed,26,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,,3
Andira anthelmia,Fabaceae,Andira anthelmia (Vell.) Benth.,tree,confirmed,141,NA,94.85,near_endemic,Not endemic,112,4,,,,,,,,,,,3
Andira carvalhoi,Fabaceae,Andira carvalhoi R.T.Penn. & H.C.Lima,tree,confirmed,36,NA,100.0,pure_endemic,Endemic,34,0,,,,,,,,,,,3
Andira inermis,Fabaceae,Andira inermis (W.Wright) DC.,tree,confirmed,578,NA,2.38,occasional,Not endemic,7,400,,,,fodder | food | fuel | medicinal | ornamental | poison | timber,yes,,,,,,3
Andira legalis,Fabaceae,Andira legalis (Vell.) Toledo,tree,confirmed,109,NA,96.74,near_endemic,Endemic,92,2,,,,,,,,,,,3
Andira marauensis,Fabaceae,Andira marauensis N.F.Mattos,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Andira nitida,Fabaceae,Andira nitida Mart. ex Benth.,tree,confirmed,193,NA,97.96,near_endemic,Endemic,183,3,,,,,,,,,,,3
Andira ormosioides,Fabaceae,Andira ormosioides Benth.,tree,confirmed,96,NA,95.0,near_endemic,Endemic,76,2,,,,,,,,,,,3
Andira surinamensis,Fabaceae,Andira surinamensis (Bondt) Splitg. ex Amshoff,tree,new to AF,178,NA,6.57,occasional,Not in the AF,7,109,,,,timber,yes,,,,,,3
Aniba canelilla,Lauraceae,Aniba canelilla (Kunth) Mez,tree,confirmed,108,NA,14.08,widespread,Not endemic,10,73,,,,timber,yes,,,,,,3
Aniba firmula,Lauraceae,Aniba firmula (Nees & Mart.) Mez,tree,confirmed,477,NA,96.29,near_endemic,Not endemic,402,15,,,,,,,,,,,3
Aniba intermedia,Lauraceae,Aniba intermedia (Meisn.) Mez,tree,confirmed,53,NA,100.0,pure_endemic,Not endemic,50,0,,,,,,,,,,,3
Aniba pedicellata,Lauraceae,Aniba pedicellata Kosterm.,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Aniba viridis,Lauraceae,Aniba viridis Mez,tree,confirmed,58,NA,100.0,pure_endemic,Endemic,56,0,,,,,,,,,,,3
Annona acutiflora,Annonaceae,Annona acutiflora Mart.,tree,confirmed,76,NA,100.0,pure_endemic,Endemic,76,0,,,,,,,,,,,3
Annona bahiensis,Annonaceae,Annona bahiensis (Maas & Westra) H.Rainer,tree,confirmed,37,NA,100.0,pure_endemic,Endemic,36,0,,,,,,,,,,,3
Annona calophylla,Annonaceae,Annona calophylla R. E. Fr.,shrub,not in the BF.2020,16,NA,100.0,pure_endemic,NA,7,0,,,,,,,,,,,3
Annona campestris,Annonaceae,Annona campestris R. E. Fr.,tree?,not in the BF.2020,18,NA,100.0,pure_endemic,NA,17,0,,,,,,,,,,,3
Annona dolabripetala,Annonaceae,Annona dolabripetala Raddi,tree,confirmed,685,NA,92.86,near_endemic,Endemic,567,28,,,,,,,,,,,3
Annona ferruginea,Annonaceae,Annona ferruginea (R.E.Fr.) H.Rainer,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Annona neosericea,Annonaceae,Annona neosericea H.Rainer,tree,confirmed,104,NA,100.0,pure_endemic,Endemic,97,2,,,,,,,,,,,3
Annona parviflora,Annonaceae,Annona parviflora (A.St.-Hil.) H.Rainer,tree,confirmed,50,NA,97.44,near_endemic,Endemic,41,1,,,,,,,,,,,3
Annona pickelii,Annonaceae,Annona pickelii (Diels) H.Rainer,tree,confirmed,49,NA,90.79,near_endemic,Endemic,35,1,,,,,,,,,,,3
Annona rugulosa,Annonaceae,Annona rugulosa (Schltdl.) H.Rainer,tree,confirmed,218,NA,92.88,near_endemic,Endemic,191,11,,,,,,,,,,,3
Annona saffordiana,Annonaceae,Annona saffordiana R.E.Fr.,shrub,new to AF,13,NA,100.0,pure_endemic,Not in the AF,5,0,,,,,,,,,,,3
Annona salzmannii,Annonaceae,Annona salzmannii A.DC.,tree,confirmed,93,NA,88.55,near_endemic,Endemic,66,7,,,,,,,,,,,3
Annona ubatubensis,Annonaceae,Annona ubatubensis (Maas & Westra) H.Rainer,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Annona xylopiifolia,Annonaceae,Annona xylopiifolia A.St.-Hil. & Tul.,tree,confirmed,70,NA,95.12,near_endemic,Endemic,43,2,,,,,,,,,,,3
Arapatiella emarginata,Fabaceae,Arapatiella emarginata R.S.Cowan,tree,confirmed,11,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,3
Astrocaryum aculeatissimum,Arecaceae,Astrocaryum aculeatissimum (Schott) Burret,tree,confirmed,160,NA,100.0,pure_endemic,Endemic,154,0,,,,,,,,,,,3
Ateleia venezuelensis,Fabaceae,Ateleia venezuelensis Mohlenbr.,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Attalea apoda,Arecaceae,Attalea apoda Burret,tree,confirmed,19,NA,100.0,pure_endemic,Not endemic,3,0,,,,,,,,,,,3
Attalea burretiana,Arecaceae,Attalea burretiana Bondar,tree,confirmed,30,NA,97.37,near_endemic,Endemic,18,0,,,,,,,,,,,3
Attalea dubia,Arecaceae,Attalea dubia (Mart.) Burret,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,18,0,,,,,,,,,,,3
Attalea humilis,Arecaceae,Attalea humilis Mart.,shrub,confirmed,57,NA,100.0,pure_endemic,Endemic,55,0,,,,,,,,,,,3
Bactris ferruginea,Arecaceae,Bactris ferruginea Burret,tree,confirmed,39,NA,100.0,pure_endemic,Endemic,33,0,,,,,,,,,,,3
Bactris hatschbachii,Arecaceae,Bactris hatschbachii Noblick ex A.J.Hend.,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Bactris horridispatha,Arecaceae,Bactris horridispatha Noblick ex A.J.Hend.,shrub,confirmed,17,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Bactris setosa,Arecaceae,Bactris setosa Mart.,tree,confirmed,140,NA,93.18,near_endemic,Not endemic,117,4,,,,,,,,,,,3
Bactris timbuiensis,Arecaceae,Bactris timbuiensis H.Q.B.Fern.,shrub,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,3
Bactris vulgaris,Arecaceae,Bactris vulgaris Barb.Rodr.,shrub,confirmed,94,NA,99.37,near_endemic,Endemic,80,0,,,,,,,,,,,3
Bathysa australis,Rubiaceae,Bathysa australis (A.St.-Hil.) K.Schum.,tree,confirmed,272,NA,98.02,near_endemic,Not endemic,242,2,,,,,,,,,,,3
Bathysa gymnocarpa,Rubiaceae,Bathysa gymnocarpa K.Schum.,tree,confirmed,74,NA,100.0,pure_endemic,Endemic,53,0,,,,,,,,,,,3
Bathysa mendoncaei,Rubiaceae,Bathysa mendoncaei K.Schum.,tree,confirmed,98,NA,100.0,pure_endemic,Endemic,91,0,,,,,,,,,,,3
Bathysa nicholsonii,Rubiaceae,Bathysa nicholsonii K.Schum.,tree,confirmed,32,NA,90.0,near_endemic,Endemic,19,0,,,,,,,,,,,3
Bathysa stipulata,Rubiaceae,Bathysa stipulata (Vell.) C.Presl,tree,confirmed,96,NA,98.77,near_endemic,Endemic,94,1,,,,,,,,,,,3
Bathysa sylvestrae,Rubiaceae,Bathysa sylvestrae Germano-Filho & M.Gomes,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Bauhinia affinis,Fabaceae,Bauhinia affinis Vogel,tree,confirmed,45,NA,100.0,pure_endemic,Endemic,44,0,,,,,,,,,,,3
Bauhinia albicans,Fabaceae,Bauhinia albicans Vogel,shrub,confirmed,11,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,3
Bauhinia cheilantha,Fabaceae,Bauhinia cheilantha (Bong.) Steud.,tree,new to AF,365,NA,6.03,occasional,Not in the AF,14,288,,,,fodder | timber,yes,,,,,,3
Bauhinia fusconervis,Fabaceae,Bauhinia fusconervis (Bong.) Steud.,tree,confirmed,34,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,,3
Bauhinia glaziovii,Fabaceae,Bauhinia glaziovii Taub.,shrub,confirmed,15,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Bauhinia integerrima,Fabaceae,Bauhinia integerrima Mart. ex Benth.,shrub,confirmed,32,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,3
Bauhinia ovata,Fabaceae,Bauhinia ovata (Bong.) Vogel,tree,confirmed,51,NA,100.0,pure_endemic,Endemic,46,0,,,,,,,,,,,3
Bauhinia pinheiroi,Fabaceae,Bauhinia pinheiroi Wunderlin,shrub,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Beilschmiedia angustifolia,Lauraceae,Beilschmiedia angustifolia Kosterm.,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,3
Beilschmiedia emarginata,Lauraceae,Beilschmiedia emarginata (Meisn.) Kosterm.,tree,confirmed,44,NA,100.0,pure_endemic,Endemic,38,0,,,,,,,,,,,3
Beilschmiedia fluminensis,Lauraceae,Beilschmiedia fluminensis Kosterm.,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Beilschmiedia linharensis,Lauraceae,Beilschmiedia linharensis Sa. Nishida & van der Werff,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,,3
Beilschmiedia rigida,Lauraceae,Beilschmiedia rigida (Mez) Kosterm.,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Beilschmiedia stricta,Lauraceae,Beilschmiedia stricta Kosterm.,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Beilschmiedia taubertiana,Lauraceae,Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.,tree,confirmed,49,NA,98.9,near_endemic,Endemic,47,0,,,,,,,,,,,3
Bocagea longepedunculata,Annonaceae,Bocagea longepedunculata Mart.,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Bocagea viridis,Annonaceae,Bocagea viridis A.St.-Hil.,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Bougainvillea spectabilis,Nyctaginaceae,Bougainvillea spectabilis Willd.,tree,confirmed,180,cultivated,90.59,near_endemic,Not endemic,127,20,,,,ornamental,,,,,,,3
Bowdichia virgilioides,Fabaceae,Bowdichia virgilioides Kunth,tree,confirmed,833,NA,32.88,widespread,Not endemic,185,387,,,,ornamental | timber,yes,,,,,,3
Brodriguesia santosii,Fabaceae,Brodriguesia santosii R.S.Cowan,tree,confirmed,47,NA,100.0,pure_endemic,Endemic,45,0,,,,,,,,,,,3
Brosimum alicastrum,Moraceae,Brosimum alicastrum Sw.,tree,new to AF,288,NA,1.8,occasional,Not in the AF,2,236,,,,fodder | food | timber,yes,,,,,,3
Brosimum gaudichaudii,Moraceae,Brosimum gaudichaudii Trecul,tree,confirmed,1592,NA,13.61,widespread,Not endemic,112,1017,,,,medicinal | timber,yes,,,,,,3
Brosimum glaucum,Moraceae,Brosimum glaucum Taub.,shrub,confirmed,17,NA,89.47,near_endemic,Endemic,9,1,,,,,,,,,,,3
Brosimum glaziovii,Moraceae,Brosimum glaziovii Taub.,tree,confirmed,69,NA,89.8,near_endemic,Endemic,50,5,,,,,,,,,,,3
Brosimum guianense,Moraceae,Brosimum guianense (Aubl.) Huber,tree,confirmed,711,NA,29.47,widespread,Not endemic,165,414,,,,timber,yes,,,,,,3
Brosimum parinarioides,Moraceae,Brosimum parinarioides Ducke,tree,new to AF,85,NA,1.64,occasional,Not in the AF,1,72,,,,timber,yes,,,,,,3
Brosimum rubescens,Moraceae,Brosimum rubescens Taub.,tree,confirmed,274,NA,9.19,occasional,Not endemic,27,207,,,,timber,yes,,,,,,3
Brunfelsia pauciflora,Solanaceae,Brunfelsia pauciflora (Cham. & Schltdl.) Benth.,tree,confirmed,221,cultivated,94.84,near_endemic,Endemic,171,5,,,,ornamental,,,,,,,3
Butia paraguayensis,Arecaceae,Butia paraguayensis (Barb.Rodr.) Bailey,shrub,confirmed,162,NA,40.52,widespread,Not endemic,32,56,amenazada,Endangered,,,,,,,,,3
Cabralea canjerana,Meliaceae,Cabralea canjerana (Vell.) Mart.,tree,confirmed,2741,NA,60.55,widespread,Not endemic,1602,509,,,,timber,yes,,,,,,3
Calliandra bella,Fabaceae,Calliandra bella Benth.,shrub,confirmed,85,NA,93.85,near_endemic,Not endemic,65,3,,,,,,,,,,,3
Calliandra lintea,Fabaceae,Calliandra lintea Barneby,shrub,new to AF,18,NA,95.45,near_endemic,Not in the AF,10,0,,,,,,,,,,,3
Calycolpus legrandii,Myrtaceae,Calycolpus legrandii Mattos,shrub,confirmed,93,NA,100.0,pure_endemic,Endemic,88,0,,,,,,,,,,,3
Calycophyllum multiflorum,Rubiaceae,Calycophyllum multiflorum Griseb.,tree,new to AF,148,NA,15.34,widespread,Not in the AF,12,91,,Vulnerable,,timber,yes,,,,,,3
Calycophyllum papillosum,Rubiaceae,Calycophyllum papillosum J.H.Kirkbr.,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Calycophyllum spruceanum,Rubiaceae,Calycophyllum spruceanum (Benth.) K.Schum.,tree,new to AF,139,NA,1.47,occasional,Not in the AF,3,86,,,,timber,yes,,,,,,3
Calyptranthes angustifolia,Myrtaceae,Calyptranthes angustifolia Kiaersk.,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Calyptranthes aromatica,Myrtaceae,Calyptranthes aromatica A.St.-Hil.,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,3
Calyptranthes bimarginata,Myrtaceae,Calyptranthes bimarginata O.Berg,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Calyptranthes brasiliensis,Myrtaceae,Calyptranthes brasiliensis Spreng.,tree,confirmed,580,NA,90.62,near_endemic,Not endemic,420,37,,,,,,,,,,,3
Calyptranthes caudata,Myrtaceae,Calyptranthes caudata Gardner,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,3
Calyptranthes curta,Myrtaceae,Calyptranthes curta Sobral & O.Aguiar,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Calyptranthes detecta,Myrtaceae,Calyptranthes detecta Sobral & M.Souza,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Calyptranthes dichotoma,Myrtaceae,Calyptranthes dichotoma Casar.,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Calyptranthes dryadica,Myrtaceae,Calyptranthes dryadica M.L.Kawas.,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Calyptranthes fusiformis,Myrtaceae,Calyptranthes fusiformis M.L.Kawas.,tree,confirmed,11,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,3
Calyptranthes glazioviana,Myrtaceae,Calyptranthes glazioviana Kiaersk.,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Calyptranthes grandiflora,Myrtaceae,Calyptranthes grandiflora O.Berg,tree,confirmed,31,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,3
Calyptranthes lanceolata,Myrtaceae,Calyptranthes lanceolata O.Berg,tree,confirmed,88,NA,100.0,pure_endemic,Endemic,82,0,,,,,,,,,,,3
Calyptranthes langsdorffii,Myrtaceae,Calyptranthes langsdorffii O.Berg,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,3
Calyptranthes maritima,Myrtaceae,Calyptranthes maritima Sobral & Bertoncello,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Calyptranthes martiusiana,Myrtaceae,Calyptranthes martiusiana DC.,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Calyptranthes obovata,Myrtaceae,Calyptranthes obovata Kiaersk.,tree,confirmed,50,NA,100.0,pure_endemic,Endemic,43,0,,,,,,,,,,,3
Calyptranthes pauciflora,Myrtaceae,Calyptranthes pauciflora O.Berg,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,,3
Calyptranthes pileata,Myrtaceae,Calyptranthes pileata D.Legrand,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Calyptranthes pteropoda,Myrtaceae,Calyptranthes pteropoda O.Berg,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Calyptranthes restingae,Myrtaceae,Calyptranthes restingae Sobral,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Calyptranthes rubella,Myrtaceae,Calyptranthes rubella (O.Berg) D.Legrand,tree,confirmed,24,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,,3
Calyptranthes santalucia,Myrtaceae,Calyptranthes santalucia Sobral,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Calyptranthes serrana,Myrtaceae,Calyptranthes serrana A.R.Lourenco,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Calyptranthes solitaria,Myrtaceae,"Calyptranthes solitaria Sobral, Aguiar & Antunes",tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Calyptranthes strigipes,Myrtaceae,Calyptranthes strigipes O.Berg,tree,confirmed,67,NA,100.0,pure_endemic,Endemic,54,0,,,,,,,,,,,3
Calyptranthes tetraptera,Myrtaceae,Calyptranthes tetraptera O.Berg,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Calyptranthes tricona,Myrtaceae,Calyptranthes tricona D.Legrand,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,30,0,,,,,,,,,,,3
Calyptranthes ubatubana,Myrtaceae,Calyptranthes ubatubana Sobral & Rochelle,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Calyptranthes ursina,Myrtaceae,Calyptranthes ursina Barroso & Peixoto,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Campomanesia anemonea,Myrtaceae,Campomanesia anemonea Landrum,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,3
Campomanesia dichotoma,Myrtaceae,Campomanesia dichotoma (O.Berg) Mattos,tree,confirmed,239,NA,90.19,near_endemic,Endemic,170,12,,,,,,,,,,,3
Campomanesia espiritosantensis,Myrtaceae,Campomanesia espiritosantensis Landrum,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Campomanesia guaviroba,Myrtaceae,Campomanesia guaviroba (DC.) Kiaersk.,tree,confirmed,498,NA,91.32,near_endemic,Not endemic,404,29,,,,,,,,,,,3
Campomanesia hirsuta,Myrtaceae,Campomanesia hirsuta Gardner,tree,confirmed,32,NA,97.96,near_endemic,Endemic,25,0,,,,,,,,,,,3
Campomanesia laurifolia,Myrtaceae,Campomanesia laurifolia Gardner,tree,confirmed,142,NA,98.3,near_endemic,Endemic,124,0,,,,,,,,,,,3
Campomanesia littoralis,Myrtaceae,Campomanesia littoralis D.Legrand,shrub,confirmed,24,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,,3
Campomanesia lundiana,Myrtaceae,Campomanesia lundiana (Kiaersk.) Mattos,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Campomanesia macrobracteolata,Myrtaceae,Campomanesia macrobracteolata Landrum,tree,confirmed,24,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,,3
Campomanesia neriiflora,Myrtaceae,Campomanesia neriiflora (O.Berg) Nied.,tree,confirmed,92,NA,93.43,near_endemic,Endemic,73,3,,,,,,,,,,,3
Campomanesia phaea,Myrtaceae,Campomanesia phaea (O.Berg) Landrum,tree,confirmed,56,NA,98.9,near_endemic,Endemic,52,0,,,,,,,,,,,3
Campomanesia prosthecesepala,Myrtaceae,Campomanesia prosthecesepala Kiaersk.,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Campomanesia reitziana,Myrtaceae,Campomanesia reitziana D.Legrand,tree,confirmed,43,NA,100.0,pure_endemic,Endemic,43,0,,,,,,,,,,,3
Campomanesia schlechtendaliana,Myrtaceae,Campomanesia schlechtendaliana (O.Berg) Nied.,tree,confirmed,68,NA,100.0,pure_endemic,Endemic,63,0,,,,,,,,,,,3
Campomanesia simulans,Myrtaceae,Campomanesia simulans M.L.Kawas.,tree,confirmed,24,NA,94.44,near_endemic,Endemic,17,1,,,,,,,,,,,3
Campomanesia terminalis,Myrtaceae,Campomanesia terminalis (Vell.) Mattos,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Cassia fastuosa,Fabaceae,Cassia fastuosa Willd. ex Benth.,tree,new to AF,134,NA,4.12,occasional,Not in the AF,6,104,,,,timber,yes,,,,,,3
Cassia grandis,Fabaceae,Cassia grandis L.f.,tree,confirmed,241,NA,17.23,widespread,Not endemic,25,148,,,,fences | fodder | food | fuel | medicinal | ornamental | resins_gums | timber,yes,,,,,,3
Cassia leptophylla,Fabaceae,Cassia leptophylla Vogel,tree,confirmed,79,NA,94.57,near_endemic,Endemic,60,2,,,,,,,,,,,3
Cecropia glaziovii,Urticaceae,Cecropia glaziovii Snethl.,tree,confirmed,222,NA,98.23,near_endemic,Endemic,207,3,,,,medicinal,,,,,,,3
Cedrela odorata,Meliaceae,Cedrela odorata L.,tree,confirmed,775,NA,11.03,widespread,Not endemic,68,459,,,,fibres | fuel | medicinal | ornamental | timber,yes,,,,,,3
Centrolobium tomentosum,Fabaceae,Centrolobium tomentosum Guillem. ex Benth.,tree,confirmed,180,NA,84.16,widespread,Not endemic,110,18,,,,timber,yes,,,,,,3
Chamaecrista amabilis,Fabaceae,Chamaecrista amabilis H.S.Irwin & Barneby,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Chamaecrista amorimii,Fabaceae,Chamaecrista amorimii Barneby,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Chamaecrista apoucouita,Fabaceae,Chamaecrista apoucouita (Aubl.) H.S.Irwin & Barneby,tree,new to AF,59,NA,13.33,widespread,Not in the AF,11,37,,,,timber,yes,,,,,,3
Chamaecrista aspleniifolia,Fabaceae,Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby,tree,confirmed,23,NA,100.0,pure_endemic,Not endemic,18,0,,,,,,,,,,,3
Chamaecrista catharticoides,Fabaceae,Chamaecrista catharticoides (H.S.Irwin & Barneby) H.S.Irwin & Barneby,shrub,confirmed,16,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Chamaecrista compitalis,Fabaceae,Chamaecrista compitalis (H.S.Irwin & Barneby) H.S.Irwin & Barneby,tree,confirmed,5,NA,100.0,pure_endemic,Not endemic,4,0,,,,,,,,,,,3
Chamaecrista duartei,Fabaceae,Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby,tree,confirmed,51,NA,100.0,pure_endemic,Endemic,34,0,,,,,,,,,,,3
Chamaecrista onusta,Fabaceae,Chamaecrista onusta H.S.Irwin & Barneby,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Chamaecrista pilicarpa,Fabaceae,Chamaecrista pilicarpa (Glaz. ex Harms) H.S.Irwin & Barneby,tree,new to AF,8,NA,100.0,pure_endemic,Not in the AF,1,0,,,,,,,,,,,3
Chamaecrista pteropoda,Fabaceae,Chamaecrista pteropoda Barneby,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Chamaecrista unijuga,Fabaceae,Chamaecrista unijuga (Benth.) Conc. et al.,tree,confirmed,13,NA,91.67,near_endemic,Endemic,11,1,,,,,,,,,,,3
Chiococca insularis,Rubiaceae,Chiococca insularis (Ridley) C.M. Taylor & M.R. Barbosa,shrub,confirmed,8,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Chomelia brasiliana,Rubiaceae,Chomelia brasiliana A.Rich.,tree,confirmed,73,NA,97.14,near_endemic,Not endemic,62,1,,,,,,,,,,,3
Chomelia hirsuta,Rubiaceae,Chomelia hirsuta Gardner,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Chomelia oligantha,Rubiaceae,Chomelia oligantha Mull.Arg.,tree,confirmed,5,NA,100.0,pure_endemic,Not endemic,1,0,,,,,,,,,,,3
Chomelia parvifolia,Rubiaceae,Chomelia parvifolia (Standl.) Govaerts,tree,confirmed,51,NA,100.0,pure_endemic,Endemic,46,0,,,,,,,,,,,3
Chomelia pedunculosa,Rubiaceae,Chomelia pedunculosa Benth.,tree,confirmed,28,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,3
Chomelia pubescens,Rubiaceae,Chomelia pubescens Cham. & Schltdl.,tree,confirmed,10,NA,100.0,pure_endemic,Not endemic,8,0,,,,,,,,,,,3
Chomelia tristis,Rubiaceae,Chomelia tristis Mull.Arg.,tree,confirmed,16,NA,90.0,near_endemic,Endemic,9,1,,,,,,,,,,,3
Chromolucuma apiculata,Sapotaceae,Chromolucuma apiculata Alves-Araujo & M.Alves,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Chrysophyllum flexuosum,Sapotaceae,Chrysophyllum flexuosum Mart.,tree,confirmed,148,NA,99.27,near_endemic,Endemic,124,0,,,,,,,,,,,3
Chrysophyllum gonocarpum,Sapotaceae,Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.,tree,confirmed,555,NA,70.54,widespread,Not endemic,367,100,,,,timber,yes,,,,,,3
